Phase,Activity,Interactivity type,Learning type,Social level,Indicators,Monitored resources ans actions,Constraint type,Students or groups evaluated,Evidences,,,,Problems,,,,TOTAL,,,,%,,,,TOTAL (Distance),,,,%,,,,TOTAL (Blended),,,,%,,,,TOTAL (face-to-face),,,,%,,,,TOTAL (computer-mediated),,,,%,,,,TOTAL (blended),,,,%,,,,TOTAL (face-to-face),,,,%,,,,TOTAL (activity constraints),,,,%,,,,TOTAL (pattern constraints),,,,%,,,,TOTAL (individual),,,,%,,,,TOTAL (small groups),,,,%,,,,TOTAL (big groups),,,,%,,,,TOTAL (whole class),,,,%,,,,TOTAL (conditions per activity),,,,%,,,
,,,,,,,,,Detected by the custimized MMLA solution,Real,Detected by the teacher,Useful,Detected by the custimized MMLA solution,Real,Detected by the teacher,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful
Level 1,"Activity 1.1
Individual research proposal
(monitored)",Computer-mediated,Distance,Individual,1) Individual participation,"* Accesses/editions to GDocs
* Accesses to Description
* Teacher comments / submissions",activity,15,15,15,0,15,0,0,0,0,15,0,0,15,100.00,0.00,0.00,100.00,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,51,0,0,51,100,0,0,100
,,,,,2)Expected use of resources,"* Accesses/editions to GDocs
* Teacher comments / submissions",activity,15,15,15,0,15,0,0,0,0,15,0,0,15,100.00,0.00,0.00,100.00,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3)  Impact on future activities (the individual proposal is reused in 2.1),* Accesses/editions to Gdocs,pattern,15,15,15,0,15,0,0,0,0,15,0,0,15,100.00,0.00,0.00,100.00,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,15,0,0,15,100.00,0.00,0.00,100.00,15.00,0.00,0.00,15.00,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4) Impact on future activities (level 2 groups),"* Accesses/editions to GDocs
* Accesses to Description
* Teacher comments / submissions",pattern,6,6,6,0,6,0,0,0,0,6,0,0,6,100.00,0.00,0.00,100.00,6,0,0,6,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,6,0,0,6,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,6,100.00,0.00,0.00,100.00,6.00,0.00,0.00,6.00,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level 2,"Activity 2.1
Initial research proposal
(monitored)",Blended,Blended,Small group,1) Groups participation,"* Attendance to the lab session
* Accesses/editions to Gdocs",activity,6,6,6,6,6,0,0,0,0,6,0,6,6,100.00,0.00,100.00,100.00,,,,,,,,,6,0,6,6,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,6,0,6,6,100.00,0.00,100.00,100.00,,,,,,,,,6,0,6,6,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,6,0,6,6,100.00,0.00,100.00,100.00,,,,,,,,,,,,,,,,,81,0,29,77,100,0,35.80246914,95.0617284
,,,,,2) Individual participation,"* Attendance to the lab session
* Accesses to Gdocs (individual)
* Accesses/editions to Gdocs (group)",activity,15,15,15,14,15,0,0,0,0,15,0,14,15,100.00,0.00,93.33,100.00,,,,,,,,,15,0,14,15,100.00,0.00,93.33,100.00,,,,,,,,,,,,,,,,,15,0,14,15,100.00,0.00,93.33,100.00,,,,,,,,,15,0,14,15,100.00,0.00,93.33,100.00,,,,,,,,,,,,,,,,,15,0,14,15,100.00,0.00,93.33,100.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Expected use of resoruces (indvidual report1),* Accesses to GDocs,activity,3,1,1,0,1,2,2,0,2,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Expected use of resoruces (indvidual report2),* Accesses to GDocs,activity,3,2,2,0,2,1,1,0,1,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Expected use of resoruces (indvidual report3),* Accesses to GDocs,activity,3,3,3,0,3,0,0,0,0,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,3,0,0,3,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,
